hour,tag,percent,scrobbles
10,cloud rap,0.11356538527056953,623
10,vaporwave,0.08954630628584408,623
10,rap,0.07972290045993981,623
10,jazz,0.07895633410936347,623
10,Hip-Hop,0.07222758503208222,623
10,indie pop,0.06589631480324797,623
11,ambient,0.25609900287707404,843
11,jazz,0.11533914003074133,843
11,rap,0.11129941276159697,843
11,electronic,0.10753556930595515,843
11,Neo-Psychedelia,0.09397785047097308,843
11,Hip-Hop,0.09133724825602017,843
11,vaporwave,0.09131754226934143,843
11,indie,0.07458715957908012,843
11,indie pop,0.05850707444921767,843
12,ambient,0.22572108519752496,910
12,jazz,0.15305092812946214,910
12,electronic,0.11169919086149453,910
12,indie,0.1054926225606854,910
12,Soundtrack,0.09759162303664921,910
12,vaporwave,0.09492622560685388,910
12,rap,0.07267015706806282,910
12,Hip-Hop,0.07030937648738696,910
12,Neo-Psychedelia,0.06853879105188006,910
13,ambient,0.2258404074702886,581
13,indie,0.1903565365025467,581
13,jazz,0.15500848896434635,581
13,electronic,0.12974533106960953,581
13,Neo-Psychedelia,0.1030560271646859,581
13,vaporwave,0.10067911714770798,581
13,indie pop,0.09531409168081495,581
14,ambient,0.24652431752462792,951
14,indie,0.14412442208099852,951
14,jazz,0.1333420463642156,951
14,instrumental,0.1042623057947101,951
14,Soundtrack,0.1032984267533613,951
14,electronic,0.09663295812844097,951
14,vaporwave,0.09130711800166635,951
14,Neo-Psychedelia,0.08050840535197921,951
15,ambient,0.20656141631684613,722
15,indie,0.1518068990691732,722
15,jazz,0.13590527468516153,722
15,electronic,0.12379083774411388,722
15,Neo-Psychedelia,0.0935389669647746,722
15,Soundtrack,0.07480835918963313,722
15,vaporwave,0.07464865851432742,722
15,indie pop,0.07309728052564336,722
15,instrumental,0.0658423069903267,722
16,ambient,0.2866637013004003,780
16,indie,0.1584813836050132,780
16,electronic,0.15576022397236977,780
16,Neo-Psychedelia,0.10646537062717497,780
16,indie pop,0.10581124571548182,780
16,vaporwave,0.1037180459980638,780
16,jazz,0.08310002878149611,780
17,indie,0.1358223654758707,871
17,ambient,0.10729698272002865,871
17,indie pop,0.09900617781359118,871
17,Neo-Psychedelia,0.09868385710448563,871
17,jazz,0.08983794431014414,871
17,electronic,0.08643567015847435,871
17,vaporwave,0.08545080132509625,871
17,dream pop,0.08118900528247829,871
17,Hip-Hop,0.07470677768824424,871
17,cloud rap,0.07155519742143432,871
17,rap,0.0700152207001522,871
18,ambient,0.2339202469446894,964
18,indie,0.13446516315988408,964
18,jazz,0.08762756709084037,964
18,electronic,0.08365881315358448,964
18,Hip-Hop,0.07425664608794255,964
18,rap,0.07145331989416656,964
18,Neo-Psychedelia,0.06880748393599596,964
18,indie pop,0.06406702784427365,964
18,cloud rap,0.06299609424215699,964
18,vaporwave,0.060192768048381,964
18,dream pop,0.05855486959808492,964
19,ambient,0.27348352736013576,739
19,vaporwave,0.14554366781354575,739
19,electronic,0.12256680963378423,739
19,indie,0.10849790262525334,739
19,Neo-Psychedelia,0.09897723523589574,739
19,indie pop,0.08667577885657728,739
19,Hip-Hop,0.08413064995051138,739
19,cloud rap,0.08012442852429655,739
20,ambient,0.22730411923273997,821
20,vaporwave,0.15788535656203354,821
20,indie,0.136453761668189,821
20,jazz,0.12725287945284824,821
20,electronic,0.1055316684117896,821
20,Neo-Psychedelia,0.09993984895404014,821
20,indie pop,0.07601309956112014,821
20,Hip-Hop,0.06961926615723929,821
21,ambient,0.16891833188531713,762
21,indie,0.14652476107732404,762
21,vaporwave,0.12747610773240658,762
21,jazz,0.10660295395308426,762
21,electronic,0.09993483927019982,762
21,Neo-Psychedelia,0.0935490877497828,762
21,rap,0.08950912250217202,762
21,indie pop,0.08846655082536924,762
21,Hip-Hop,0.07901824500434405,762
22,ambient,0.15252152521525214,423
22,electronic,0.14745238361474525,423
22,indie,0.14547690931454768,423
22,Hip-Hop,0.101830109210183,423
22,cloud rap,0.10063737001006373,423
22,jazz,0.09262365350926237,423
22,vaporwave,0.09191546460919155,423
22,indie pop,0.0910209102091021,423
22,rap,0.07652167430765217,423
23,ambient,0.1471368234947451,310
23,jazz,0.11821039190649249,310
23,vaporwave,0.11747372556723308,310
23,electronic,0.11231706119241726,310
23,cloud rap,0.11118750613888616,310
23,Neo-Psychedelia,0.10912484038895982,310
23,Hip-Hop,0.0813279638542383,310
23,indie pop,0.07013063549749535,310
23,indie,0.06846085846184069,310
23,swing,0.06463019349769178,310
